Model Parameters: 163.6M
step:     1280 | loss:   3.2519 | norm:   1.7641 | time:  5172.07 | tok/s:  33988.4 | lr: 0.010000 | mfu:    80.21%
step:     1290 | loss:   3.3260 | norm:   1.8048 | time:  5210.63 | tok/s:  33970.0 | lr: 0.010000 | mfu:    80.16%
step:     1300 | loss:   3.2934 | norm:   1.6307 | time:  5249.21 | tok/s:  33995.2 | lr: 0.010000 | mfu:    80.22%
Model saved to saved_models
step:     1310 | loss:   3.3911 | norm:   1.9281 | time:  5298.99 | tok/s:  33985.0 | lr: 0.010000 | mfu:    80.20%
step:     1320 | loss:   3.3421 | norm:   2.0932 | time:  5337.58 | tok/s:  33958.1 | lr: 0.010000 | mfu:    80.13%
step:     1330 | loss:   3.4178 | norm:   1.8409 | time:  5376.21 | tok/s:  34013.4 | lr: 0.010000 | mfu:    80.26%
step:     1340 | loss:   3.3751 | norm:   1.9530 | time:  5414.79 | tok/s:  33997.3 | lr: 0.010000 | mfu:    80.23%
step:     1350 | loss:   3.3190 | norm:   1.8428 | time:  5453.42 | tok/s:  34021.5 | lr: 0.010000 | mfu:    80.28%
step:     1360 | loss:   3.3413 | norm:   1.9031 | time:  5492.03 | tok/s:  34016.8 | lr: 0.010000 | mfu:    80.27%
step:     1370 | loss:   3.2574 | norm:   1.7113 | time:  5530.59 | tok/s:  34018.2 | lr: 0.010000 | mfu:    80.28%
step:     1380 | loss:   3.3387 | norm:   1.6146 | time:  5569.22 | tok/s:  34014.4 | lr: 0.010000 | mfu:    80.27%
step:     1390 | loss:   3.3056 | norm:   1.5347 | time:  5607.84 | tok/s:  34009.6 | lr: 0.010000 | mfu:    80.26%
step:     1400 | loss:   3.2724 | norm:   1.7737 | time:  5646.43 | tok/s:  33987.7 | lr: 0.010000 | mfu:    80.20%
Model saved to saved_models
step:     1410 | loss:   3.3022 | norm:   1.8161 | time:  5696.25 | tok/s:  33991.1 | lr: 0.010000 | mfu:    80.21%
step:     1420 | loss:   3.2946 | norm:   1.8135 | time:  5734.85 | tok/s:  34023.9 | lr: 0.010000 | mfu:    80.29%
step:     1430 | loss:   3.2389 | norm:   1.7869 | time:  5773.40 | tok/s:  33998.5 | lr: 0.010000 | mfu:    80.23%
step:     1440 | loss:   3.2810 | norm:   2.2556 | time:  5811.98 | tok/s:  33986.3 | lr: 0.010000 | mfu:    80.20%
step:     1450 | loss:   3.2878 | norm:   1.7260 | time:  5850.56 | tok/s:  33846.6 | lr: 0.010000 | mfu:    79.87%
step:     1460 | loss:   3.2862 | norm:   2.0460 | time:  5889.15 | tok/s:  34000.0 | lr: 0.010000 | mfu:    80.23%
step:     1470 | loss:   3.2791 | norm:   1.4779 | time:  5927.73 | tok/s:  33990.2 | lr: 0.010000 | mfu:    80.21%
step:     1480 | loss:   3.2911 | norm:   1.8673 | time:  5966.31 | tok/s:  33990.2 | lr: 0.010000 | mfu:    80.21%
step:     1490 | loss:   3.2597 | norm:   1.9341 | time:  6004.92 | tok/s:  33999.4 | lr: 0.010000 | mfu:    80.23%
step:     1500 | loss:   3.1937 | norm:   1.8144 | time:  6043.53 | tok/s:  34012.9 | lr: 0.010000 | mfu:    80.26%
Model saved to saved_models
step:     1510 | loss:   3.1277 | norm:   1.6156 | time:  6093.25 | tok/s:  33982.3 | lr: 0.010000 | mfu:    80.19%
step:     1520 | loss:   3.2372 | norm:   1.9112 | time:  6131.88 | tok/s:  34018.7 | lr: 0.010000 | mfu:    80.28%
step:     1530 | loss:   3.1765 | norm:   2.1839 | time:  6170.45 | tok/s:  33996.5 | lr: 0.010000 | mfu:    80.22%
step:     1540 | loss:   3.1408 | norm:   1.7230 | time:  6209.08 | tok/s:  34021.6 | lr: 0.010000 | mfu:    80.28%
step:     1550 | loss:   3.2552 | norm:   1.7259 | time:  6247.66 | tok/s:  33979.4 | lr: 0.010000 | mfu:    80.18%
step:     1560 | loss:   3.3708 | norm:   1.7630 | time:  6286.29 | tok/s:  33998.5 | lr: 0.010000 | mfu:    80.23%
step:     1570 | loss:   3.3681 | norm:   2.0659 | time:  6324.86 | tok/s:  34003.3 | lr: 0.010000 | mfu:    80.24%
step:     1580 | loss:   3.3537 | norm:   1.6940 | time:  6363.49 | tok/s:  34018.3 | lr: 0.010000 | mfu:    80.28%
step:     1590 | loss:   3.3084 | norm:   1.9372 | time:  6402.05 | tok/s:  33993.9 | lr: 0.010000 | mfu:    80.22%
step:     1600 | loss:   3.3118 | norm:   2.2154 | time:  6440.68 | tok/s:  34019.1 | lr: 0.010000 | mfu:    80.28%
Model saved to saved_models
step:     1610 | loss:   3.3751 | norm:   1.9747 | time:  6495.01 | tok/s:  34028.2 | lr: 0.010000 | mfu:    80.30%
step:     1620 | loss:   3.2665 | norm:   1.7647 | time:  6533.57 | tok/s:  33970.3 | lr: 0.010000 | mfu:    80.16%
step:     1630 | loss:   3.3121 | norm:   1.6749 | time:  6572.24 | tok/s:  33988.8 | lr: 0.010000 | mfu:    80.21%
step:     1640 | loss:   3.3158 | norm:   1.7587 | time:  6610.88 | tok/s:  34008.4 | lr: 0.010000 | mfu:    80.25%
step:     1650 | loss:   3.2072 | norm:   1.7776 | time:  6649.51 | tok/s:  33997.9 | lr: 0.010000 | mfu:    80.23%
step:     1660 | loss:   3.2522 | norm:   1.8690 | time:  6688.06 | tok/s:  34013.6 | lr: 0.010000 | mfu:    80.27%
step:     1670 | loss:   3.2321 | norm:   1.9765 | time:  6726.65 | tok/s:  33976.0 | lr: 0.010000 | mfu:    80.18%
step:     1680 | loss:   3.2541 | norm:   1.6429 | time:  6765.24 | tok/s:  33958.9 | lr: 0.010000 | mfu:    80.14%
step:     1690 | loss:   3.3457 | norm:   2.2590 | time:  6803.83 | tok/s:  34001.8 | lr: 0.010000 | mfu:    80.24%
step:     1700 | loss:   3.2372 | norm:   1.9600 | time:  6842.41 | tok/s:  33960.9 | lr: 0.010000 | mfu:    80.14%
Model saved to saved_models
step:     1710 | loss:   3.2789 | norm:   1.7257 | time:  6892.04 | tok/s:  33997.3 | lr: 0.010000 | mfu:    80.23%
step:     1720 | loss:   3.2598 | norm:   2.0235 | time:  6930.65 | tok/s:  34022.5 | lr: 0.010000 | mfu:    80.29%
step:     1730 | loss:   3.1818 | norm:   2.0337 | time:  6969.21 | tok/s:  33996.7 | lr: 0.010000 | mfu:    80.23%
step:     1740 | loss:   3.2405 | norm:   1.7043 | time:  7007.84 | tok/s:  34015.7 | lr: 0.010000 | mfu:    80.27%
step:     1750 | loss:   3.2128 | norm:   1.9718 | time:  7046.39 | tok/s:  34028.0 | lr: 0.010000 | mfu:    80.30%
step:     1760 | loss:   3.2061 | norm:   2.2544 | time:  7084.97 | tok/s:  34003.3 | lr: 0.010000 | mfu:    80.24%
step:     1770 | loss:   3.1548 | norm:   1.8775 | time:  7123.54 | tok/s:  33980.8 | lr: 0.010000 | mfu:    80.19%
step:     1780 | loss:   3.1714 | norm:   1.9836 | time:  7162.19 | tok/s:  34004.5 | lr: 0.010000 | mfu:    80.24%
step:     1790 | loss:   3.2382 | norm:   2.3131 | time:  7200.80 | tok/s:  34006.4 | lr: 0.010000 | mfu:    80.25%
step:     1800 | loss:   3.1338 | norm:   1.5830 | time:  7239.42 | tok/s:  34018.2 | lr: 0.010000 | mfu:    80.28%
Model saved to saved_models
step:     1810 | loss:   3.1465 | norm:   1.6692 | time:  7289.09 | tok/s:  34019.2 | lr: 0.010000 | mfu:    80.28%
step:     1820 | loss:   3.2894 | norm:   1.6417 | time:  7327.66 | tok/s:  34008.2 | lr: 0.010000 | mfu:    80.25%
step:     1830 | loss:   3.2909 | norm:   1.9441 | time:  7366.27 | tok/s:  34016.2 | lr: 0.010000 | mfu:    80.27%
step:     1840 | loss:   3.3147 | norm:   2.0633 | time:  7404.81 | tok/s:  34037.1 | lr: 0.010000 | mfu:    80.32%
step:     1850 | loss:   3.2920 | norm:   1.9232 | time:  7443.39 | tok/s:  33977.7 | lr: 0.010000 | mfu:    80.18%
step:     1860 | loss:   3.3570 | norm:   2.1713 | time:  7482.06 | tok/s:  33955.8 | lr: 0.010000 | mfu:    80.13%
step:     1870 | loss:   3.2525 | norm:   1.9348 | time:  7520.70 | tok/s:  33990.4 | lr: 0.010000 | mfu:    80.21%
step:     1880 | loss:   3.1797 | norm:   1.7740 | time:  7559.27 | tok/s:  33968.6 | lr: 0.010000 | mfu:    80.16%
step:     1890 | loss:   3.2746 | norm:   2.0314 | time:  7597.90 | tok/s:  34009.4 | lr: 0.010000 | mfu:    80.26%
step:     1900 | loss:   3.2994 | norm:   1.7791 | time:  7636.53 | tok/s:  34013.1 | lr: 0.010000 | mfu:    80.26%
Model saved to saved_models
step:     1910 | loss:   3.3230 | norm:   2.1532 | time:  7686.37 | tok/s:  34000.5 | lr: 0.010000 | mfu:    80.23%
step:     1920 | loss:   3.2515 | norm:   1.5854 | time:  7725.00 | tok/s:  34005.4 | lr: 0.010000 | mfu:    80.25%
step:     1930 | loss:   3.3733 | norm:   2.0841 | time:  7763.54 | tok/s:  34003.3 | lr: 0.010000 | mfu:    80.24%
step:     1940 | loss:   3.2004 | norm:   1.7617 | time:  7802.11 | tok/s:  33995.7 | lr: 0.010000 | mfu:    80.22%
step:     1950 | loss:   3.1967 | norm:   2.0815 | time:  7840.70 | tok/s:  33972.8 | lr: 0.010000 | mfu:    80.17%
step:     1960 | loss:   3.1966 | norm:   1.9457 | time:  7879.33 | tok/s:  34025.8 | lr: 0.010000 | mfu:    80.29%
step:     1970 | loss:   3.2680 | norm:   1.9481 | time:  7917.89 | tok/s:  33987.9 | lr: 0.010000 | mfu:    80.20%
step:     1980 | loss:   3.1907 | norm:   1.8632 | time:  7956.47 | tok/s:  33971.0 | lr: 0.010000 | mfu:    80.16%
step:     1990 | loss:   3.1817 | norm:   1.6857 | time:  7995.10 | tok/s:  34005.5 | lr: 0.010000 | mfu:    80.25%
step:     2000 | loss:   3.2514 | norm:   1.9800 | time:  8033.66 | tok/s:  33999.9 | lr: 0.010000 | mfu:    80.23%
Model saved to saved_models
step:     2010 | loss:   3.1115 | norm:   1.8076 | time:  8083.41 | tok/s:  33952.2 | lr: 0.010000 | mfu:    80.12%
step:     2020 | loss:   3.2163 | norm:   1.9718 | time:  8122.01 | tok/s:  33980.5 | lr: 0.010000 | mfu:    80.19%
step:     2030 | loss:   3.1319 | norm:   1.6727 | time:  8160.61 | tok/s:  33986.5 | lr: 0.010000 | mfu:    80.20%
step:     2040 | loss:   3.1155 | norm:   2.0441 | time:  8199.26 | tok/s:  33960.4 | lr: 0.010000 | mfu:    80.14%
