W0413 09:38:14.257000 14692 site-packages\torch\_inductor\utils.py:1691] [0/0] Not enough SMs to use max_autotune_gemm mode
step:        0 | loss:  12.9390 | norm:   5.3237 | time:    24.46 | tok/s: 938.500756 | lr: 0.000100
step:     1260 | loss:   3.5660 | norm:   2.3518 | time:  4731.36 | tok/s: 17868.923928 | lr: 0.010000
step:     1270 | loss:   3.5883 | norm:   2.1758 | time:  4768.15 | tok/s: 17868.161950 | lr: 0.010000
step:     1280 | loss:   3.5587 | norm:   2.5279 | time:  4804.93 | tok/s: 17858.802826 | lr: 0.010000
step:     1290 | loss:   3.5398 | norm:   1.7289 | time:  4841.72 | tok/s: 17864.890598 | lr: 0.010000
step:     1300 | loss:   3.6156 | norm:   2.0506 | time:  4878.51 | tok/s: 17870.073987 | lr: 0.010000
step:     1310 | loss:   3.4216 | norm:   1.8478 | time:  4915.35 | tok/s: 17852.901245 | lr: 0.010000
step:     1320 | loss:   3.3607 | norm:   1.9098 | time:  4952.14 | tok/s: 17853.690912 | lr: 0.010000
step:     1330 | loss:   3.5500 | norm:   2.0988 | time:  4988.92 | tok/s: 17868.407030 | lr: 0.010000
step:     1340 | loss:   3.5949 | norm:   1.9464 | time:  5025.70 | tok/s: 17863.902577 | lr: 0.010000
step:     1350 | loss:   3.6054 | norm:   1.9166 | time:  5062.54 | tok/s: 17848.355929 | lr: 0.010000
step:     1360 | loss:   3.5153 | norm:   1.7858 | time:  5099.32 | tok/s: 17846.746323 | lr: 0.010000
step:     1370 | loss:   3.4607 | norm:   2.0838 | time:  5136.11 | tok/s: 17875.920666 | lr: 0.010000
step:     1380 | loss:   3.5847 | norm:   2.4965 | time:  5172.94 | tok/s: 17868.396576 | lr: 0.010000
step:     1390 | loss:   3.5372 | norm:   1.9646 | time:  5211.68 | tok/s: 17869.031957 | lr: 0.010000
step:     1400 | loss:   3.5646 | norm:   2.2821 | time:  5248.46 | tok/s: 17846.379017 | lr: 0.010000
step:     1410 | loss:   3.4254 | norm:   1.9569 | time:  5285.44 | tok/s: 17849.079130 | lr: 0.010000
step:     1420 | loss:   3.6778 | norm:   1.9064 | time:  5322.22 | tok/s: 17855.948980 | lr: 0.010000
step:     1430 | loss:   3.5018 | norm:   2.0364 | time:  5359.01 | tok/s: 17855.276255 | lr: 0.010000
step:     1440 | loss:   3.4817 | norm:   1.8924 | time:  5395.81 | tok/s: 17865.293501 | lr: 0.010000
step:     1450 | loss:   3.5101 | norm:   2.3037 | time:  5432.59 | tok/s: 17854.618657 | lr: 0.010000
step:     1460 | loss:   3.4489 | norm:   1.9791 | time:  5469.39 | tok/s: 17856.960483 | lr: 0.010000
step:     1470 | loss:   3.5254 | norm:   2.3623 | time:  5506.24 | tok/s: 17851.054323 | lr: 0.010000
step:     1480 | loss:   3.3716 | norm:   1.8566 | time:  5543.03 | tok/s: 17851.577173 | lr: 0.010000
step:     1490 | loss:   3.4590 | norm:   1.7049 | time:  5579.82 | tok/s: 17871.174232 | lr: 0.010000
step:     1500 | loss:   3.4522 | norm:   1.9431 | time:  5616.61 | tok/s: 17850.763348 | lr: 0.010000
step:     1510 | loss:   3.4165 | norm:   1.9650 | time:  5653.46 | tok/s: 17861.723743 | lr: 0.010000
step:     1520 | loss:   3.4263 | norm:   2.0588 | time:  5690.26 | tok/s: 17864.928914 | lr: 0.010000
step:     1530 | loss:   3.5151 | norm:   1.8611 | time:  5727.10 | tok/s: 17843.723736 | lr: 0.010000
step:     1540 | loss:   3.3979 | norm:   2.1480 | time:  5763.90 | tok/s: 17865.632557 | lr: 0.010000
step:     1550 | loss:   3.5406 | norm:   2.5380 | time:  5800.68 | tok/s: 17867.861126 | lr: 0.010000
step:     1560 | loss:   3.4060 | norm:   1.8821 | time:  5837.46 | tok/s: 17858.967588 | lr: 0.010000
step:     1570 | loss:   3.4554 | norm:   1.8657 | time:  5874.25 | tok/s: 17850.497886 | lr: 0.010000
step:     1580 | loss:   3.6460 | norm:   2.8397 | time:  5911.09 | tok/s: 17853.696710 | lr: 0.010000
step:     1590 | loss:   3.6448 | norm:   2.3344 | time:  5948.05 | tok/s: 17845.818237 | lr: 0.010000
step:     1600 | loss:   3.5528 | norm:   1.7304 | time:  5984.89 | tok/s: 17863.835242 | lr: 0.010000
step:     1610 | loss:   3.4551 | norm:   1.6404 | time:  6021.67 | tok/s: 17871.643649 | lr: 0.010000
step:     1620 | loss:   3.6167 | norm:   2.1848 | time:  6058.52 | tok/s: 17858.750614 | lr: 0.010000
step:     1630 | loss:   3.5063 | norm:   1.9441 | time:  6095.31 | tok/s: 17851.806726 | lr: 0.010000
step:     1640 | loss:   3.5343 | norm:   1.9187 | time:  6132.09 | tok/s: 17859.076658 | lr: 0.010000
step:     1650 | loss:   3.4238 | norm:   2.1079 | time:  6168.88 | tok/s: 17855.305251 | lr: 0.010000
step:     1660 | loss:   3.4856 | norm:   2.0707 | time:  6205.67 | tok/s: 17868.345469 | lr: 0.010000
step:     1670 | loss:   3.5364 | norm:   2.1252 | time:  6242.45 | tok/s: 17852.054836 | lr: 0.010000
step:     1680 | loss:   3.7253 | norm:   2.2822 | time:  6279.25 | tok/s: 17854.661568 | lr: 0.010000
step:     1690 | loss:   3.4729 | norm:   2.3301 | time:  6316.04 | tok/s: 17851.183003 | lr: 0.010000
step:     1700 | loss:   3.1948 | norm:   1.9463 | time:  6352.83 | tok/s: 17860.510930 | lr: 0.010000
step:     1710 | loss:   3.3947 | norm:   1.9313 | time:  6389.62 | tok/s: 17851.467035 | lr: 0.010000
step:     1720 | loss:   3.4434 | norm:   1.7941 | time:  6426.41 | tok/s: 17853.491459 | lr: 0.010000
step:     1730 | loss:   3.6027 | norm:   1.9457 | time:  6463.21 | tok/s: 17848.592354 | lr: 0.010000
step:     1740 | loss:   3.5113 | norm:   2.3810 | time:  6500.00 | tok/s: 17864.133608 | lr: 0.010000
step:     1750 | loss:   3.5201 | norm:   1.9594 | time:  6536.80 | tok/s: 17874.864006 | lr: 0.010000
step:     1760 | loss:   3.4569 | norm:   2.2060 | time:  6573.65 | tok/s: 17853.849782 | lr: 0.010000
step:     1770 | loss:   3.3125 | norm:   1.8995 | time:  6610.44 | tok/s: 17841.205889 | lr: 0.010000
step:     1780 | loss:   3.3967 | norm:   1.7573 | time:  6647.24 | tok/s: 17852.945307 | lr: 0.010000
step:     1790 | loss:   3.4140 | norm:   1.7883 | time:  6684.09 | tok/s: 17848.191363 | lr: 0.010000
step:     1800 | loss:   3.5042 | norm:   1.6998 | time:  6720.89 | tok/s: 17863.949015 | lr: 0.010000
step:     1810 | loss:   3.5152 | norm:   2.3834 | time:  6757.69 | tok/s: 17863.441692 | lr: 0.010000
step:     1820 | loss:   3.4878 | norm:   2.0774 | time:  6794.54 | tok/s: 16993.150570 | lr: 0.010000
step:     1830 | loss:   3.5015 | norm:   1.9683 | time:  6831.58 | tok/s: 17850.512956 | lr: 0.010000
step:     1840 | loss:   3.5892 | norm:   1.9361 | time:  6868.38 | tok/s: 17866.439609 | lr: 0.010000
step:     1850 | loss:   3.4109 | norm:   2.2178 | time:  6907.79 | tok/s: 17869.429238 | lr: 0.010000
step:     1860 | loss:   3.5144 | norm:   2.1991 | time:  6944.64 | tok/s: 17857.364188 | lr: 0.010000
step:     1870 | loss:   3.4903 | norm:   2.0932 | time:  6981.43 | tok/s: 17849.782684 | lr: 0.010000
step:     1880 | loss:   3.4426 | norm:   2.4379 | time:  7018.27 | tok/s: 17859.848305 | lr: 0.010000
step:     1890 | loss:   3.3521 | norm:   2.6443 | time:  7055.06 | tok/s: 17854.915556 | lr: 0.010000
step:     1900 | loss:   3.4977 | norm:   2.3389 | time:  7091.84 | tok/s: 17855.575496 | lr: 0.010000
step:     1910 | loss:   3.4273 | norm:   1.7905 | time:  7128.64 | tok/s: 17865.319046 | lr: 0.010000
step:     1920 | loss:   3.5482 | norm:   2.0999 | time:  7165.42 | tok/s: 17848.023323 | lr: 0.010000
step:     1930 | loss:   3.4055 | norm:   1.8494 | time:  7202.30 | tok/s: 17849.201987 | lr: 0.010000
step:     1940 | loss:   3.4093 | norm:   2.4079 | time:  7239.16 | tok/s: 17855.128958 | lr: 0.010000
step:     1950 | loss:   3.3583 | norm:   1.9399 | time:  7275.96 | tok/s: 17863.209517 | lr: 0.010000
step:     1960 | loss:   3.5339 | norm:   2.2469 | time:  7312.74 | tok/s: 17867.186342 | lr: 0.010000
step:     1970 | loss:   3.3696 | norm:   4.2293 | time:  7349.54 | tok/s: 17865.444449 | lr: 0.010000
