Model Parameters: 163.6M
step:    12490 | loss:   2.9196 | norm:   1.6862 | time: 49885.69 | tok/s:  33909.4 | lr: 0.010000 | mfu:    80.02%
step:    12500 | loss:   2.8428 | norm:   1.4161 | time: 49924.49 | tok/s:  33692.9 | lr: 0.010000 | mfu:    79.51%
Model saved to saved_models
step:    12510 | loss:   2.8756 | norm:   1.5520 | time: 49971.87 | tok/s:  33918.5 | lr: 0.010000 | mfu:    80.04%
step:    12520 | loss:   2.8279 | norm:   1.7361 | time: 50010.79 | tok/s:  33742.2 | lr: 0.010000 | mfu:    79.62%
step:    12530 | loss:   2.8638 | norm:   1.7989 | time: 50049.66 | tok/s:  33806.1 | lr: 0.010000 | mfu:    79.78%
step:    12540 | loss:   3.0990 | norm:   1.6934 | time: 50088.49 | tok/s:  33846.6 | lr: 0.010000 | mfu:    79.87%
step:    12550 | loss:   3.1074 | norm:   1.9283 | time: 50127.36 | tok/s:  33975.2 | lr: 0.010000 | mfu:    80.17%
step:    12560 | loss:   3.0388 | norm:   1.8019 | time: 50166.22 | tok/s:  33902.8 | lr: 0.010000 | mfu:    80.00%
step:    12570 | loss:   2.9457 | norm:   1.6950 | time: 50207.49 | tok/s:  33858.7 | lr: 0.010000 | mfu:    79.90%
step:    12580 | loss:   3.0158 | norm:   1.5038 | time: 50246.29 | tok/s:  33634.6 | lr: 0.010000 | mfu:    79.37%
step:    12590 | loss:   3.1434 | norm:   1.5239 | time: 50285.24 | tok/s:  33656.3 | lr: 0.010000 | mfu:    79.42%
step:    12600 | loss:   3.1710 | norm:   1.7048 | time: 50324.01 | tok/s:  33883.7 | lr: 0.010000 | mfu:    79.96%
Model saved to saved_models
step:    12610 | loss:   3.0249 | norm:   1.6767 | time: 50370.23 | tok/s:  33905.0 | lr: 0.010000 | mfu:    80.01%
step:    12620 | loss:   3.0023 | norm:   1.5028 | time: 50409.14 | tok/s:  33717.6 | lr: 0.010000 | mfu:    79.57%
step:    12630 | loss:   3.0461 | norm:   1.3541 | time: 50448.21 | tok/s:  32640.5 | lr: 0.010000 | mfu:    77.03%
step:    12640 | loss:   3.0785 | norm:   1.7671 | time: 50487.65 | tok/s:  33867.9 | lr: 0.010000 | mfu:    79.92%
step:    12650 | loss:   3.0475 | norm:   1.5765 | time: 50526.42 | tok/s:  33863.5 | lr: 0.010000 | mfu:    79.91%
step:    12660 | loss:   3.0165 | norm:   1.4505 | time: 50565.28 | tok/s:  33949.9 | lr: 0.010000 | mfu:    80.11%
step:    12670 | loss:   3.0138 | norm:   1.4327 | time: 50605.96 | tok/s:  32899.8 | lr: 0.010000 | mfu:    77.64%
step:    12680 | loss:   2.9680 | norm:   1.4541 | time: 50644.97 | tok/s:  33876.1 | lr: 0.010000 | mfu:    79.94%
step:    12690 | loss:   2.9632 | norm:   1.3898 | time: 50683.82 | tok/s:  33629.3 | lr: 0.010000 | mfu:    79.36%
step:    12700 | loss:   2.9252 | norm:   1.5892 | time: 50722.67 | tok/s:  33825.3 | lr: 0.010000 | mfu:    79.82%
Model saved to saved_models
step:    12710 | loss:   3.0548 | norm:   1.5387 | time: 50769.90 | tok/s:  33511.6 | lr: 0.010000 | mfu:    79.08%
step:    12720 | loss:   2.9985 | norm:   1.5567 | time: 50808.83 | tok/s:  33886.7 | lr: 0.010000 | mfu:    79.97%
step:    12730 | loss:   2.8786 | norm:   1.7850 | time: 50847.69 | tok/s:  33661.4 | lr: 0.010000 | mfu:    79.43%
step:    12740 | loss:   2.9098 | norm:   1.6704 | time: 50886.58 | tok/s:  33880.0 | lr: 0.010000 | mfu:    79.95%
step:    12750 | loss:   2.9161 | norm:   1.6887 | time: 50925.50 | tok/s:  33822.1 | lr: 0.010000 | mfu:    79.81%
step:    12760 | loss:   2.8727 | norm:   1.6414 | time: 50964.38 | tok/s:  33947.5 | lr: 0.010000 | mfu:    80.11%
step:    12770 | loss:   2.8723 | norm:   1.6486 | time: 51003.12 | tok/s:  33880.8 | lr: 0.010000 | mfu:    79.95%
step:    12780 | loss:   2.9468 | norm:   1.5921 | time: 51041.97 | tok/s:  33633.5 | lr: 0.010000 | mfu:    79.37%
step:    12790 | loss:   2.8893 | norm:   1.5981 | time: 51081.00 | tok/s:  33487.6 | lr: 0.010000 | mfu:    79.02%
step:    12800 | loss:   3.2219 | norm:   1.7343 | time: 51122.37 | tok/s:  33905.6 | lr: 0.010000 | mfu:    80.01%
Model saved to saved_models
step:    12810 | loss:   2.9221 | norm:   1.9216 | time: 51170.32 | tok/s:  33802.4 | lr: 0.010000 | mfu:    79.77%
step:    12820 | loss:   3.0106 | norm:   1.5328 | time: 51209.13 | tok/s:  33774.5 | lr: 0.010000 | mfu:    79.70%
step:    12830 | loss:   3.0713 | norm:   1.5272 | time: 51248.02 | tok/s:  33956.6 | lr: 0.010000 | mfu:    80.13%
step:    12840 | loss:   3.0421 | norm:   1.6123 | time: 51286.87 | tok/s:  33725.6 | lr: 0.010000 | mfu:    79.59%
step:    12850 | loss:   2.9537 | norm:   1.6515 | time: 51325.92 | tok/s:  33815.4 | lr: 0.010000 | mfu:    79.80%
step:    12860 | loss:   3.0203 | norm:   1.6014 | time: 51364.68 | tok/s:  33820.8 | lr: 0.010000 | mfu:    79.81%
step:    12870 | loss:   3.0747 | norm:   1.4139 | time: 51403.47 | tok/s:  33840.9 | lr: 0.010000 | mfu:    79.86%
step:    12880 | loss:   3.1179 | norm:   1.6665 | time: 51442.34 | tok/s:  33568.4 | lr: 0.010000 | mfu:    79.21%
step:    12890 | loss:   3.0100 | norm:   1.4532 | time: 51481.30 | tok/s:  33542.5 | lr: 0.010000 | mfu:    79.15%
step:    12900 | loss:   2.9616 | norm:   1.5522 | time: 51520.25 | tok/s:  33788.8 | lr: 0.010000 | mfu:    79.73%
Model saved to saved_models
step:    12910 | loss:   3.0063 | norm:   1.5554 | time: 51570.25 | tok/s:  33623.9 | lr: 0.010000 | mfu:    79.35%
step:    12920 | loss:   3.0396 | norm:   1.5718 | time: 51609.36 | tok/s:  33950.5 | lr: 0.010000 | mfu:    80.12%
step:    12930 | loss:   3.0292 | norm:   2.1059 | time: 51648.13 | tok/s:  33602.0 | lr: 0.010000 | mfu:    79.29%
step:    12940 | loss:   3.2300 | norm:   2.6224 | time: 51687.06 | tok/s:  33857.6 | lr: 0.010000 | mfu:    79.90%
step:    12950 | loss:   3.0296 | norm:   1.5091 | time: 51726.27 | tok/s:  33751.2 | lr: 0.010000 | mfu:    79.65%
step:    12960 | loss:   3.2589 | norm:   1.8217 | time: 51765.01 | tok/s:  33219.0 | lr: 0.010000 | mfu:    78.39%
step:    12970 | loss:   2.9550 | norm:   1.8303 | time: 51803.98 | tok/s:  33877.7 | lr: 0.010000 | mfu:    79.94%
step:    12980 | loss:   3.0434 | norm:   1.7927 | time: 51842.95 | tok/s:  33941.6 | lr: 0.010000 | mfu:    80.10%
step:    12990 | loss:   2.9415 | norm:   1.7110 | time: 51882.57 | tok/s:  32662.2 | lr: 0.010000 | mfu:    77.08%
step:    13000 | loss:   2.8255 | norm:   1.4341 | time: 51921.61 | tok/s:  34037.6 | lr: 0.010000 | mfu:    80.32%
Model saved to saved_models
step:    13010 | loss:   3.0088 | norm:   1.2877 | time: 51971.45 | tok/s:  34005.1 | lr: 0.010000 | mfu:    80.25%
step:    13020 | loss:   2.8991 | norm:   1.4553 | time: 52010.02 | tok/s:  33973.9 | lr: 0.010000 | mfu:    80.17%
step:    13030 | loss:   2.8804 | norm:   1.5697 | time: 52051.38 | tok/s:  33992.5 | lr: 0.010000 | mfu:    80.22%
step:    13040 | loss:   2.7992 | norm:   1.5208 | time: 52089.95 | tok/s:  34012.8 | lr: 0.010000 | mfu:    80.26%
step:    13050 | loss:   3.1214 | norm:   1.7193 | time: 52128.52 | tok/s:  33986.9 | lr: 0.010000 | mfu:    80.20%
step:    13060 | loss:   3.0526 | norm:   2.1123 | time: 52167.10 | tok/s:  33957.4 | lr: 0.010000 | mfu:    80.13%
step:    13070 | loss:   3.0373 | norm:   1.7772 | time: 52205.68 | tok/s:  33980.6 | lr: 0.010000 | mfu:    80.19%
step:    13080 | loss:   3.0316 | norm:   1.7980 | time: 52244.25 | tok/s:  33975.8 | lr: 0.010000 | mfu:    80.18%
step:    13090 | loss:   3.0696 | norm:   1.7328 | time: 52282.84 | tok/s:  33996.5 | lr: 0.010000 | mfu:    80.22%
step:    13100 | loss:   3.0660 | norm:   1.8487 | time: 52321.41 | tok/s:  33999.0 | lr: 0.010000 | mfu:    80.23%
Model saved to saved_models
step:    13110 | loss:   3.0513 | norm:   2.0825 | time: 52371.01 | tok/s:  33984.5 | lr: 0.010000 | mfu:    80.20%
step:    13120 | loss:   3.1820 | norm:   1.6799 | time: 52409.60 | tok/s:  33959.5 | lr: 0.010000 | mfu:    80.14%
step:    13130 | loss:   3.0150 | norm:   1.4747 | time: 52448.19 | tok/s:  33980.7 | lr: 0.010000 | mfu:    80.19%
step:    13140 | loss:   2.9933 | norm:   1.8218 | time: 52486.79 | tok/s:  33976.8 | lr: 0.010000 | mfu:    80.18%
step:    13150 | loss:   3.0168 | norm:   1.1578 | time: 52525.38 | tok/s:  33978.3 | lr: 0.010000 | mfu:    80.18%
step:    13160 | loss:   2.9988 | norm:   1.9724 | time: 52563.96 | tok/s:  33967.9 | lr: 0.010000 | mfu:    80.16%
step:    13170 | loss:   3.0310 | norm:   1.5953 | time: 52602.53 | tok/s:  33975.1 | lr: 0.010000 | mfu:    80.17%
step:    13180 | loss:   3.0168 | norm:   1.5761 | time: 52641.12 | tok/s:  33974.8 | lr: 0.010000 | mfu:    80.17%
step:    13190 | loss:   2.9843 | norm:   1.5942 | time: 52679.70 | tok/s:  33984.7 | lr: 0.010000 | mfu:    80.20%
step:    13200 | loss:   3.0216 | norm:   1.4208 | time: 52718.27 | tok/s:  34000.2 | lr: 0.010000 | mfu:    80.23%
Model saved to saved_models
step:    13210 | loss:   2.9415 | norm:   1.4040 | time: 52767.95 | tok/s:  33980.1 | lr: 0.010000 | mfu:    80.19%
step:    13220 | loss:   2.9638 | norm:   1.6912 | time: 52806.55 | tok/s:  33972.6 | lr: 0.010000 | mfu:    80.17%
step:    13230 | loss:   3.0277 | norm:   1.7678 | time: 52845.15 | tok/s:  33981.8 | lr: 0.010000 | mfu:    80.19%
step:    13240 | loss:   2.8078 | norm:   1.4893 | time: 52883.74 | tok/s:  34007.2 | lr: 0.010000 | mfu:    80.25%
step:    13250 | loss:   3.0335 | norm:   1.6606 | time: 52922.32 | tok/s:  33966.1 | lr: 0.010000 | mfu:    80.15%
step:    13260 | loss:   2.8363 | norm:   1.5556 | time: 52960.91 | tok/s:  33966.0 | lr: 0.010000 | mfu:    80.15%
step:    13270 | loss:   2.8661 | norm:   1.2969 | time: 53001.83 | tok/s:  33966.7 | lr: 0.010000 | mfu:    80.15%
step:    13280 | loss:   2.9210 | norm:   1.5833 | time: 53040.43 | tok/s:  33976.8 | lr: 0.010000 | mfu:    80.18%
step:    13290 | loss:   2.8957 | norm:   1.6450 | time: 53079.03 | tok/s:  33959.7 | lr: 0.010000 | mfu:    80.14%
step:    13300 | loss:   3.0626 | norm:   1.5979 | time: 53117.62 | tok/s:  33989.1 | lr: 0.010000 | mfu:    80.21%
Model saved to saved_models
step:    13310 | loss:   3.1111 | norm:   1.8382 | time: 53167.04 | tok/s:  33974.2 | lr: 0.010000 | mfu:    80.17%
step:    13320 | loss:   3.1474 | norm:   1.5955 | time: 53205.61 | tok/s:  33981.9 | lr: 0.010000 | mfu:    80.19%
step:    13330 | loss:   3.0553 | norm:   1.5812 | time: 53244.20 | tok/s:  33993.5 | lr: 0.010000 | mfu:    80.22%
step:    13340 | loss:   3.0812 | norm:   1.6360 | time: 53282.79 | tok/s:  33988.2 | lr: 0.010000 | mfu:    80.21%
step:    13350 | loss:   3.0382 | norm:   1.8142 | time: 53321.36 | tok/s:  33966.5 | lr: 0.010000 | mfu:    80.15%
step:    13360 | loss:   3.0219 | norm:   1.4753 | time: 53359.95 | tok/s:  33944.5 | lr: 0.010000 | mfu:    80.10%
step:    13370 | loss:   3.0284 | norm:   1.3545 | time: 53398.55 | tok/s:  33989.1 | lr: 0.010000 | mfu:    80.21%
step:    13380 | loss:   2.9889 | norm:   1.4215 | time: 53437.13 | tok/s:  34040.5 | lr: 0.010000 | mfu:    80.33%
step:    13390 | loss:   2.9746 | norm:   1.5926 | time: 53475.70 | tok/s:  33960.8 | lr: 0.010000 | mfu:    80.14%
step:    13400 | loss:   3.1552 | norm:   1.7588 | time: 53514.31 | tok/s:  33992.1 | lr: 0.010000 | mfu:    80.21%
Model saved to saved_models
step:    13410 | loss:   3.0096 | norm:   1.4139 | time: 53568.68 | tok/s:  33988.2 | lr: 0.010000 | mfu:    80.21%
