W0417 09:19:02.263000 12996 site-packages\torch\_inductor\utils.py:1691] [0/0] Not enough SMs to use max_autotune_gemm mode
step:        0 | loss:  10.8783 | norm:   1.8307 | time:    15.40 | tok/s:   1579.4 | lr: 0.000100
step:     1520 | loss:   3.3724 | norm:   1.5810 | time:  4024.10 | tok/s:  25120.7 | lr: 0.010000
step:     1530 | loss:   3.4594 | norm:   1.2340 | time:  4050.20 | tok/s:  25105.6 | lr: 0.010000
step:     1540 | loss:   3.3324 | norm:   1.3791 | time:  4076.31 | tok/s:  25104.8 | lr: 0.010000
step:     1550 | loss:   3.4736 | norm:   1.5282 | time:  4102.44 | tok/s:  25097.5 | lr: 0.010000
step:     1560 | loss:   3.3485 | norm:   1.3365 | time:  4128.55 | tok/s:  25119.9 | lr: 0.010000
step:     1570 | loss:   3.3915 | norm:   1.1056 | time:  4154.66 | tok/s:  25128.6 | lr: 0.010000
step:     1580 | loss:   3.5894 | norm:   1.4385 | time:  4180.76 | tok/s:  25112.8 | lr: 0.010000
step:     1590 | loss:   3.5865 | norm:   1.5375 | time:  4206.88 | tok/s:  25107.0 | lr: 0.010000
step:     1600 | loss:   3.5076 | norm:   1.3914 | time:  4233.00 | tok/s:  25096.7 | lr: 0.010000
step:     1610 | loss:   3.4134 | norm:   1.3504 | time:  4259.10 | tok/s:  25132.5 | lr: 0.010000
step:     1620 | loss:   3.5634 | norm:   1.4040 | time:  4285.21 | tok/s:  25112.7 | lr: 0.010000
step:     1630 | loss:   3.4552 | norm:   1.6652 | time:  4311.33 | tok/s:  25102.1 | lr: 0.010000
step:     1640 | loss:   3.4857 | norm:   1.4088 | time:  4337.45 | tok/s:  25117.6 | lr: 0.010000
step:     1650 | loss:   3.3732 | norm:   1.4324 | time:  4363.56 | tok/s:  25118.7 | lr: 0.010000
step:     1660 | loss:   3.4355 | norm:   1.3323 | time:  4389.67 | tok/s:  25123.8 | lr: 0.010000
step:     1670 | loss:   3.4742 | norm:   1.3893 | time:  4415.78 | tok/s:  25115.3 | lr: 0.010000
step:     1680 | loss:   3.6659 | norm:   1.6322 | time:  4441.90 | tok/s:  25112.8 | lr: 0.010000
step:     1690 | loss:   3.3949 | norm:   1.5441 | time:  4468.02 | tok/s:  25097.9 | lr: 0.010000
step:     1700 | loss:   3.1480 | norm:   1.2805 | time:  4494.14 | tok/s:  25117.9 | lr: 0.010000
step:     1710 | loss:   3.3549 | norm:   1.3202 | time:  4520.25 | tok/s:  25121.0 | lr: 0.010000
step:     1720 | loss:   3.3915 | norm:   1.2584 | time:  4546.43 | tok/s:  25127.5 | lr: 0.010000
step:     1730 | loss:   3.5500 | norm:   1.4316 | time:  4572.53 | tok/s:  25111.3 | lr: 0.010000
step:     1740 | loss:   3.4581 | norm:   1.5380 | time:  4598.64 | tok/s:  25101.8 | lr: 0.010000
step:     1750 | loss:   3.4574 | norm:   1.2899 | time:  4624.76 | tok/s:  25121.2 | lr: 0.010000
