step:        0 | loss:  11.2897 | norm:   2.0030 | time:     6.91 | tok/s: 10362.388817 | lr: 0.000100
step:     1680 | loss:   3.4306 | norm:   2.2764 | time:  3365.73 | tok/s: 32828.411953 | lr: 0.010000
step:     1690 | loss:   3.4807 | norm:   2.2187 | time:  3385.71 | tok/s: 32779.230410 | lr: 0.010000
step:     1700 | loss:   3.3531 | norm:   2.0302 | time:  3405.69 | tok/s: 32827.133866 | lr: 0.010000
step:     1710 | loss:   3.4172 | norm:   2.0538 | time:  3425.68 | tok/s: 32829.149055 | lr: 0.010000
step:     1720 | loss:   3.5104 | norm:   2.1096 | time:  3445.65 | tok/s: 32816.916665 | lr: 0.010000
step:     1730 | loss:   3.5581 | norm:   2.3955 | time:  3465.64 | tok/s: 32820.356960 | lr: 0.010000
step:     1740 | loss:   3.5188 | norm:   1.9423 | time:  3485.63 | tok/s: 32799.444207 | lr: 0.010000
step:     1750 | loss:   3.5626 | norm:   1.9475 | time:  3505.62 | tok/s: 32798.348394 | lr: 0.010000
step:     1760 | loss:   3.4920 | norm:   2.6397 | time:  3525.61 | tok/s: 32804.039594 | lr: 0.010000
step:     1770 | loss:   3.4459 | norm:   2.1972 | time:  3545.60 | tok/s: 32784.140759 | lr: 0.010000
step:     1780 | loss:   3.5194 | norm:   1.8798 | time:  3565.60 | tok/s: 32798.677130 | lr: 0.010000
step:     1790 | loss:   3.4969 | norm:   2.2831 | time:  3585.59 | tok/s: 32794.439284 | lr: 0.010000
step:     1800 | loss:   3.4832 | norm:   1.7173 | time:  3605.57 | tok/s: 32820.388310 | lr: 0.010000
step:     1810 | loss:   3.9584 | norm:   2.5747 | time:  3625.56 | tok/s: 32813.183311 | lr: 0.010000
step:     1820 | loss:   3.4014 | norm:   1.8460 | time:  3645.54 | tok/s: 32822.308610 | lr: 0.010000
step:     1830 | loss:   3.4116 | norm:   1.8114 | time:  3665.52 | tok/s: 32815.851025 | lr: 0.010000
step:     1840 | loss:   3.3773 | norm:   2.9873 | time:  3685.50 | tok/s: 32815.557202 | lr: 0.010000
step:     1850 | loss:   3.4262 | norm:   1.8144 | time:  3705.49 | tok/s: 32820.717489 | lr: 0.010000
step:     1860 | loss:   3.4491 | norm:   2.2273 | time:  3725.47 | tok/s: 32822.633908 | lr: 0.010000
step:     1870 | loss:   3.5133 | norm:   2.2228 | time:  3745.47 | tok/s: 32790.804923 | lr: 0.010000
step:     1880 | loss:   3.4484 | norm:   2.7009 | time:  3765.47 | tok/s: 32801.616483 | lr: 0.010000
